id,song_name,danceability,energy,liveness,kmeans
4F8UlPvgPOIRplL4Xqm23q,Static,0.5870000000000001,0.992,0.526,1
0p2Eezm7M4ORXpczTTGeqz,Old No. 7 - Feat. G-Eazy,0.322,0.596,0.107,1
08odSjX4jSedY3njOWSBOU,Smoke,0.605,0.865,0.161,1
4xrrec9bdpJoslxlICRK5i,You Were Never a Threat,0.628,0.85,0.0963,1
5T0YyRxyxtLDxLYJhLjqWM,33rd Blakk Glass,0.373,0.862,0.48,1
3oBlwGbihR4DHztLAyPH6n,Aw Shit - Zillakami Solo,0.705,0.7290000000000001,0.621,1
2vbdUi6DvdKauWAisnyjNg,Nuka Cola,0.652,0.88,0.3929999999999999,1
2eVrjX2M1ggeIgN2KTL49G,Ricky Bobby Six Speed,0.7,0.892,0.392,1
7MbdiKZClwSDglZXRH8xik,Bladed Choppa,0.7240000000000001,0.985,0.1159999999999999,1
4d8BSdhx6WT5GtTOWpv4rh,VENGEANCE | VENGEANCE [FEAT. JPEGMAFIA & ZILLAKAMI | JPEGMAF1A + Z1LLAKAM1],0.7290000000000001,0.799,0.289,1
0T6wsLOq4GmZL4HtOseM4k,SHINNERS13,0.542,0.908,0.134,1
6VCq9JcEi9EbEKl8XIdCgk,Arson,0.609,0.804,0.302,1
0YqkM9ZTBnloLO6br6NE6c,Want Em Dead,0.536,0.684,0.7609999999999999,1
3rUQeV1Iv3Gv7qjckhaxMQ,REBELLION,0.495,0.912,0.1989999999999999,1
3gGcLVDA1ErAM4dwo940TV,Dangerous,0.457,0.995,0.397,1
7FiVoxzWM9jngxxz7j3ihs,Fuck Forgivness,0.685,0.8959999999999999,0.129,1
0IFK5fF5Q44rlJ6K1zejIi,Fell in Love,0.5720000000000001,0.7709999999999999,0.135,1
6CLJfHPNbZVZgUReSHY4VH,HOLD UR TONGUE,0.768,0.904,0.401,1
6r0gmryTE5g4MZjJMgHSSX,Pick Me Up,0.581,0.753,0.3339999999999999,1
0UWOJzvTSCOnxl5dMqkGxX,Detox,0.496,0.7509999999999999,0.321,1
5lJyiQRCLoelfbPBVawHNk,Butane & Heroin,0.289,0.639,0.122,1
13T4OUOnOkd8pV2Ib2Eme5,Moves,0.247,0.584,0.17,1
1Crliz3Hp5dapnKC289Jme,No Control,0.529,0.953,0.688,1
2QScAtzKKnGzV57PXQItQA,Killing Spree,0.484,0.932,0.0728,1
1KJOjU8feVsGYnCCtbR7xT,Funeral Service,0.246,0.8029999999999999,0.319,1
1z8Ryd5EjADc14IFJJvjNH,Hero,0.629,0.713,0.352,1
7qaDrI1u8chhvYkJ6f29Ct,Baby Do You Hate Me,0.447,0.823,0.163,1
4qRSms2jxKryXFAAutaVHE,Losing Sight,0.56,0.5760000000000001,0.503,1
6hNWXzqn4hR7ZxxWpKj1VN,Girls on Mars,0.396,0.7170000000000001,0.12,1
40xGcAqWINdYOxuOHJTayU,Guerrilla-Warfare,0.26,0.965,0.247,1
61wOkYtKm5AwDbIhl05W0C,You.Won't.Do.Shit,0.487,0.8140000000000001,0.0816,1
6zmOajFryeNTB86l8pY7io,that's alright,0.3779999999999999,0.631,0.0911,1
0ynZqx8Wv8K6d1vXFYb1E9,Mortis Kombat,0.618,0.965,0.507,1
43TFbb7xlBHCwYUl9kEy5D,Leave You Behind,0.32,0.6729999999999999,0.913,1
0LrV8P0AFXA3AfMngj8xbY,Rise from the Ashes,0.619,0.948,0.855,1
1Nt2wdkuX5oia65Z7DnmJn,LayYourAssDown,0.631,0.657,0.54,1
5kH6mi4JYZQgJ9QRoriJqi,Missed Calls - Remix,0.659,0.626,0.887,1
0scSfgjpQMdFhCOCW662A8,Water $uicide,0.648,0.8340000000000001,0.1169999999999999,1
3MuT6INvEe8fGtjGOXZg03,take away the pain,0.612,0.636,0.391,1
7aIfttSlLq3PMQDJqZ3KfN,Fuck ALL the Pain,0.534,0.964,0.346,1
05mdnmrjimCkk6geWvhY9G,BEACHBOY!,0.469,0.7859999999999999,0.121,1
1fEhzjjgdwrxZZDVh6Tlut,CRYING(INTHERAIN),0.355,0.6859999999999999,0.542,1
6ksLJFEz9MDwQtC75SVgAo,Make You Cry,0.738,0.85,0.248,1
5ATUyBX4im2FfCwV6dHxUo,she was my virginity cømplex,0.441,0.5329999999999999,0.5770000000000001,1
5VPovDccXsT3Sjx50ytU1H,MIA,0.359,0.428,0.382,1
4dYiOhYuB74Rb2S2Vgnav7,vacanter,0.41,0.8759999999999999,0.144,1
7tZQ7KKB0514q8IGgTcf2u,Cyanide,0.675,0.92,0.8079999999999999,1
0chPvYWkwBuaP3VVIygjs4,Rich & Sad,0.6779999999999999,0.74,0.715,1
3pjC4jkvDdqZem2x8I1KyF,Auto Pistol,0.466,0.5479999999999999,0.502,1
31KimT5Kzg2hTTzTNunXzg,Drills in the Hills,0.632,0.7190000000000001,0.456,1
3IGJgzL5F2Ohj8vP2nmp04,Bout That Life,0.5870000000000001,0.81,0.111,1
7nTPlTJsViE2s4gCHz0TaE,To Have And Have Not,0.818,0.66,0.691,1
3xLnr84fU8N6UrDPeHFpdI,Dead Angels,0.768,0.905,0.502,1
4er9uGBNOtaWzR5kQleQBo,1punch,0.359,0.94,0.231,1
75BQL2YpjU3pOypXwHOlQw,Baked Fried Beans,0.688,0.813,0.56,1
7aWyiq6UX1NKC1aOGkUEun,Dejection,0.7040000000000001,0.7929999999999999,0.4679999999999999,1
2GFcIW9RM5nlKBPDWmW5en,Audubon,0.7609999999999999,0.7829999999999999,0.7909999999999999,1
5rxrXQ6V5CXu9doBCd67qD,Killing 2 Birds With 22 Stones ($UICIDEBOY$ X TRAVIS BARKER),0.655,0.743,0.47,1
7syJGmmzGDAYJVJ9mDHOT9,Fall Off,0.6659999999999999,0.954,0.369,1
0mM8GPNEP9UTBOnpOtCz7g,Venvm,0.691,0.493,0.826,1
7qXTiqWGqC29WGdnYeR1ZL,Neves,0.6559999999999999,0.865,0.68,1
7mbFFEQWsBfpvfrluE4OvW,LEFT 4 DEAD,0.539,0.8440000000000001,0.604,1
5qJbGeP8AegGpM8DJC4rti,FACE IN THE SOIL ft. KAMIYADA - PROD. H E A L,0.488,0.664,0.151,1
0K0BKQuc2lxJUvc9b6Z69m,Do This Shiit Often,0.552,0.603,0.371,1
18FJF9PfuJ3jQffoXFxFNy,"You'renottheshiit, Pt. 3",0.75,0.828,0.281,1
3yCkb5GtTuJY8rbv98hR8S,Throwing Puppies in a Lawn Mower,0.6459999999999999,0.882,0.698,1
4HjQLfDiXqyaglXkzB7aYL,NiceTry!,0.467,0.898,0.402,1
0xZcg2VINp9FgqXVaNysjL,Demon $layer,0.759,0.779,0.367,1
5de9Ho64dovuQI8Uhn5gPD,I Don't Wanna Do This Anymore,0.433,0.778,0.139,1
0FegIwOj3o4U0vqXjTvROI,Show You Hell,0.61,0.752,0.3379999999999999,1
2zkCbezif5Vb2XeCyFaEwn,I BE DAMNED,0.6859999999999999,0.83,0.335,1
37bREXWmmdy7R2DCES8yCQ,Straight Drop X 4,0.557,0.7390000000000001,0.17,1
1k9rwbVHqU9S2msC1fiAIi,POPSHiiT777,0.5920000000000001,0.953,0.365,1
48zQWrXgc8kkrGkK4ffSJf,Dn,0.5820000000000001,0.936,0.115,1
3d3SXAQRNcnCDJk93LsfWg,Class Four Freestyle,0.529,0.847,0.123,1
1g4zEL3uOnhwvnMEOVAbNM,A King's Nightmare,0.4629999999999999,0.728,0.176,1
1YG5qygc5DcX3UtwglJOe6,Ain't Been Happy (Demo),0.6729999999999999,0.942,0.281,1
6AughR72LGTZhCCcqbMKFt,GodCan'tSaveUs,0.395,0.5760000000000001,0.24,1
7yMYiVY7bmMg7njjtgTmXz,AbsoluteHorror,0.608,0.88,0.0867,1
4i9PvRz0dBALx6iJPOLI9d,doll,0.4539999999999999,0.725,0.0808,1
3lTySQ2J4cnAs7231mAReF,Stranger,0.434,0.696,0.107,1
3DyuyljBxetKQgRth756QB,MidnightFistFight V2,0.26,0.972,0.31,1
5IQcoz57aROu48ztjgN0oj,Night Terror,0.4539999999999999,0.753,0.0828,1
02YkwkmoeqcM3ZBDqOaKCY,Code,0.624,0.784,0.174,1
5wOhTr8lvrUbkMm7gCoY8E,Heat Seekers,0.346,0.906,0.4029999999999999,1
2Z4luUc9BQHrEwSSJ1eg0q,ProductOfDrugs (Prod. The Virus and Antidote),0.476,0.7809999999999999,0.114,1
2tKdXeUtDmfF3zK4RIUu4R,Colors,0.619,0.948,0.155,1
41GkP0CoqbNz5T3IA5LUiX,Rain Walk / Detox Freestyle,0.578,0.84,0.108,1
0wcWvS93BccuPs82d4Cf8b,DNA,0.8420000000000001,0.912,0.365,1
3LybI9SuXKP6idiFYOsdzE,Wrong1,0.621,0.7909999999999999,0.1669999999999999,1
6MLPJ9nla4cFBLr0VwSsIB,Save Me,0.487,0.7120000000000001,0.145,1
5lwLNf4b19amrc3OnsQiuJ,Zion,0.532,0.66,0.288,1
3g72kgJHRiHgsasT0XyQCq,WeProbablyShouldn'ttalkanymore,0.534,0.852,0.1169999999999999,1
4Ojj5Ld695R3riZ3LiUhVQ,Love Me,0.439,0.539,0.301,1
4dPnlgwhbgnomXBlBoiJda,HEART,0.469,0.696,0.125,1
0gE7H4Jq33b0nuZ1kC2CSD,SCRAPE II,0.76,0.959,0.324,1
7Ivr59Q3WzlTGFuuUoY2eX,50 Reasons Why,0.8009999999999999,0.792,0.893,1
4RsWA8YFk3Yp8aVV9loOlL,Modelo,0.6659999999999999,0.932,0.41,1
4OL0gl76ceCdDhAcvOFOOS,She Died Now I Love Her,0.645,0.81,0.391,1
7BFb4NieUsvMIJVB7qjoJf,You've come to the right place for a burial!,0.912,0.696,0.78,1
1rpBNextKnV7zh7zELbJek,MURDER IT!,0.6920000000000001,0.872,0.131,1
2efmx50vpQd4e0hfIHoimf,MEETTHEMUDGANG!!,0.3779999999999999,0.758,0.271,1
4hHsfsjMMJD8Dii3203fCl,Gun Smoke,0.3979999999999999,0.8590000000000001,0.168,1
56lvSzB50vLnExGz0XAc4B,Fear,0.353,0.71,0.615,1
4h1hOFMvgEZvgdoPfLP0pF,Black Saturday,0.441,0.833,0.0796,1
73pAjYtvENp3iHZq7gCCef,Because They Take over Me at Night.,0.624,0.8140000000000001,0.187,1
5niBtcSX9GdqHJYOVozsK1,BigChungus,0.5920000000000001,0.941,0.106,1
6Dj5XM1Jp2s0oPmXMLh563,Under The Weather,0.62,0.841,0.0839,1
0erWz20ZejKi8WRNoeNQjJ,Leglock,0.767,0.956,0.208,1
1XB6QAz1DubrsGyCkiD8T9,F T F T,0.647,0.985,0.377,1
59tUmNfy15pbNDhUf9peeW,Jock!,0.7490000000000001,0.851,0.389,1
03noRWFopWYRdsotzBVlls,Flip the Switch,0.635,0.95,0.502,1
3KUv0El9oNMvlEKffKDj1X,burden.,0.226,0.634,0.37,1
13M03mjykEmt1OYNhTnoYV,16 TOES,0.621,0.918,0.178,1
3al1mpBXMlu32fpOGdXnpp,"Look At Me, I'm Dead",0.512,0.883,0.6629999999999999,1
06jPwB4zWPB8hMfNIQ4yFv,God Complex,0.8009999999999999,0.852,0.684,1
3pXzCePECHFJIcRDBMyDfi,Kriminel,0.71,0.968,0.148,1
5NBhrhYK9Kux6zgaPM3MgZ,2020 PHARMACY FREESTYLE,0.562,0.911,0.103,1
0seNRXLCLrL6dB75VqQOD5,Bad Love Breaks Hearts,0.541,0.6659999999999999,0.7090000000000001,1
5yAGvb9jyhmwQDNJrju9gq,bad luck,0.489,0.5720000000000001,0.353,1
0cwLPhuE9f8i0nxqC6DR5u,Candles,0.276,0.8640000000000001,0.107,1
5qg3CWeU0mhdhkPJ1evLxC,Blood in Blood Out,0.445,0.924,0.401,1
2G0sI8uGSLYkcTd4zx5QLe,Rage Against the Dying of the Night,0.61,0.867,0.307,1
1ylCoobL88jNtFKjfGqTwT,Glock999,0.424,0.855,0.359,1
00s5LBtAIyYUI1i7SpXac7,StepOverTheLine,0.526,0.855,0.19,1
7sEfGpTqtAExyFD6jJ1bq7,hold me back,0.492,0.851,0.43,1
1nB6VmrPybx4xwkL80OqdA,Nihil,0.665,0.905,0.907,1
39gJMxsMvte4oBHx44FnRu,Just Another Product,0.8059999999999999,0.8690000000000001,0.321,1
5ItgOZJ7FNIJuP5sF7UyV2,Devil/skin,0.79,0.94,0.3429999999999999,1
5YaBgvHKQmrlUrJ5tBfyd1,Give Up,0.652,0.912,0.296,1
